Colony,Distance,Mass,Headwidth,Headwidth (mm),Worker class
28,0,62.000,39.000,1.642,39-40
28,0,53.000,39.000,1.642,39-40
28,0,51.000,38.000,1.600,37-38
28,0,43.000,36.000,1.516,<37
28,0,65.000,40.000,1.684,39-40
28,0,64.000,40.000,1.684,39-40
28,0,68.000,40.000,1.684,39-40
28,0,45.000,37.000,1.558,37-38
28,0,66.000,40.000,1.684,39-40
28,0,62.000,39.000,1.642,39-40
28,0,49.000,37.000,1.558,37-38
28,0,69.000,39.000,1.642,39-40
28,0,54.000,35.000,1.474,<37
28,0,48.000,38.000,1.600,37-38
28,0,63.000,40.000,1.684,39-40
28,0,62.000,40.000,1.684,39-40
28,0,45.000,35.000,1.474,<37
28,0,58.000,40.000,1.684,39-40
28,0,50.000,39.000,1.642,39-40
28,0,59.000,40.000,1.684,39-40
28,0,37.000,33.000,1.389,<37
28,0,46.000,38.000,1.600,37-38
28,0,48.000,38.000,1.600,37-38
28,0,53.000,39.000,1.642,39-40
28,0,45.000,38.000,1.600,37-38
28,0,54.000,37.000,1.558,37-38
28,0,45.000,34.000,1.432,<37
28,0,40.000,35.000,1.474,<37
28,0,46.000,35.000,1.474,<37
28,5,51.000,39.000,1.642,39-40
28,5,53.000,38.000,1.600,37-38
28,5,61.000,40.000,1.684,39-40
28,5,66.000,43.000,1.811,>40
28,5,45.000,35.000,1.474,<37
28,5,36.000,35.000,1.474,<37
28,5,53.000,39.000,1.642,39-40
28,5,59.000,42.000,1.768,>40
28,5,56.000,40.000,1.684,39-40
28,5,46.000,38.000,1.600,37-38
28,5,54.000,38.000,1.600,37-38
28,5,60.000,40.000,1.684,39-40
28,5,48.000,36.000,1.516,<37
28,5,31.000,33.000,1.389,<37
28,5,46.000,37.000,1.558,37-38
28,5,56.000,41.000,1.726,>40
28,5,38.000,36.000,1.516,<37
28,5,53.000,37.000,1.558,37-38
28,5,44.000,37.000,1.558,37-38
28,5,51.000,37.000,1.558,37-38
28,5,56.000,40.000,1.684,39-40
28,5,45.000,35.000,1.474,<37
28,5,57.000,40.000,1.684,39-40
28,5,65.000,43.000,1.811,>40
28,5,46.000,37.000,1.558,37-38
28,5,38.000,36.000,1.516,<37
28,5,38.000,36.000,1.516,<37
28,5,52.000,38.000,1.600,37-38
28,5,39.000,37.000,1.558,37-38
28,5,41.000,35.000,1.474,<37
23,0,62.000,37.000,1.558,37-38
23,0,51.000,37.000,1.558,37-38
23,0,64.000,40.000,1.684,39-40
23,0,69.000,39.000,1.642,39-40
23,0,61.000,39.000,1.642,39-40
23,0,59.000,37.000,1.558,37-38
23,0,48.000,35.000,1.474,<37
23,0,63.000,37.000,1.558,37-38
23,0,36.000,33.000,1.389,<37
23,0,60.000,39.000,1.642,39-40
23,0,55.000,37.000,1.558,37-38
23,0,45.000,35.000,1.474,<37
23,0,36.000,33.000,1.389,<37
23,0,42.000,37.000,1.558,37-38
23,0,35.000,34.000,1.432,<37
23,0,40.000,34.000,1.432,<37
23,0,72.000,39.000,1.642,39-40
23,0,64.000,36.000,1.516,<37
23,0,42.000,36.000,1.516,<37
23,0,54.000,39.000,1.642,39-40
23,0,57.000,40.000,1.684,39-40
23,0,41.000,35.000,1.474,<37
23,0,63.000,41.000,1.726,>40
23,0,45.000,39.000,1.642,39-40
23,0,59.000,38.000,1.600,37-38
23,0,38.000,34.000,1.432,<37
23,0,51.000,39.000,1.642,39-40
23,0,61.000,37.000,1.558,37-38
23,0,34.000,32.000,1.347,<37
23,5,73.000,39.000,1.642,39-40
23,5,32.000,33.000,1.389,<37
23,5,36.000,34.000,1.432,<37
23,5,66.000,40.000,1.684,39-40
23,5,34.000,34.000,1.432,<37
23,5,48.000,35.000,1.474,<37
23,5,60.000,35.000,1.474,<37
23,5,72.000,39.000,1.642,39-40
23,5,54.000,36.000,1.516,<37
23,5,49.000,37.000,1.558,37-38
23,5,62.000,37.000,1.558,37-38
23,5,62.000,40.000,1.684,39-40
23,5,42.000,33.000,1.389,<37
23,5,73.000,39.000,1.642,39-40
23,5,33.000,35.000,1.474,<37
23,5,46.000,38.000,1.600,37-38
23,5,70.000,39.000,1.642,39-40
23,5,54.000,35.000,1.474,<37
23,5,40.000,36.000,1.516,<37
23,5,80.000,41.000,1.726,>40
23,5,32.000,33.000,1.389,<37
23,5,44.000,36.000,1.516,<37
23,5,48.000,37.000,1.558,37-38
101,0,50.000,40.000,1.684,39-40
101,0,51.000,37.000,1.558,37-38
101,0,57.000,40.000,1.684,39-40
101,0,51.000,37.000,1.558,37-38
101,0,56.000,40.000,1.684,39-40
101,0,60.000,41.000,1.726,>40
101,0,68.000,41.000,1.726,>40
101,0,68.000,40.000,1.684,39-40
101,0,49.000,38.000,1.600,37-38
101,0,65.000,41.000,1.726,>40
101,0,73.000,42.000,1.768,>40
101,0,83.000,43.000,1.811,>40
101,0,72.000,40.000,1.684,39-40
101,0,63.000,42.000,1.768,>40
101,0,69.000,42.000,1.768,>40
101,0,54.000,35.000,1.474,<37
101,0,52.000,38.000,1.600,37-38
101,0,54.000,38.000,1.600,37-38
101,0,44.000,35.000,1.474,<37
101,0,67.000,43.000,1.811,>40
101,0,88.000,44.000,1.853,>40
101,0,61.000,41.000,1.726,>40
101,0,59.000,41.000,1.726,>40
101,0,75.000,40.000,1.684,39-40
101,0,59.000,41.000,1.726,>40
101,0,53.000,39.000,1.642,39-40
101,0,75.000,44.000,1.853,>40
101,0,59.000,40.000,1.684,39-40
101,0,57.000,41.000,1.726,>40
101,5,82.000,43.000,1.811,>40
101,5,72.000,40.000,1.684,39-40
101,5,68.000,37.000,1.558,37-38
101,5,93.000,42.000,1.768,>40
101,5,64.000,37.000,1.558,37-38
101,5,69.000,39.000,1.642,39-40
101,5,68.000,42.000,1.768,>40
101,5,68.000,40.000,1.684,39-40
101,5,57.000,40.000,1.684,39-40
101,5,65.000,40.000,1.684,39-40
101,5,81.000,41.000,1.726,>40
101,5,82.000,42.000,1.768,>40
101,5,88.000,42.000,1.768,>40
101,5,71.000,41.000,1.726,>40
101,5,69.000,42.000,1.768,>40
101,5,67.000,40.000,1.684,39-40
101,5,53.000,38.000,1.600,37-38
101,5,93.000,42.000,1.768,>40
101,5,66.000,39.000,1.642,39-40
101,5,65.000,38.000,1.600,37-38
101,5,68.000,39.000,1.642,39-40
101,5,45.000,40.000,1.684,39-40
101,5,61.000,35.000,1.474,<37
101,5,77.000,41.000,1.726,>40
101,5,90.000,42.000,1.768,>40
101,5,59.000,39.000,1.642,39-40
101,5,58.000,37.000,1.558,37-38
101,10,60.000,40.000,1.684,39-40
101,10,60.000,37.000,1.558,37-38
101,10,65.000,39.000,1.642,39-40
101,10,64.000,43.000,1.811,>40
101,10,62.000,41.000,1.726,>40
101,10,58.000,40.000,1.684,39-40
101,10,45.000,37.000,1.558,37-38
101,10,91.000,43.000,1.811,>40
101,10,65.000,40.000,1.684,39-40
